answerId,vote,count
1d86cq3pi5j5c800,1,3
1d86cq3pi5j5c800,0,1
1d86c84sg1aia000,-1,1
1d856e3eg24eq000,-1,3
1d83kj24r24e9000,0,1
1d83kj24r24e9000,1,2
1d83d4vaq1aia000,1,6
1d833q7u5b88l800,1,1
1d82rl0pk1bgc000,0,1
1d824qh031ahr000,-1,2
1d823s8120mt6000,1,1
1d823s8120mt6000,0,1
1d81qt7qf5j58800,0,1
1d81p92e052ta800,-1,1
1d81id64b5j58800,-1,1
1d81ep5jv1bgc000,0,1
1d81ep5jv1bgc000,1,3
1d8119usa1ba9000,1,1
1d8113p3a1ba9000,1,8
1d80cdcqk1ba9000,0,1
1d80cdcqk1ba9000,-1,1
1d80b3qtk1ahc000,-1,1
1d7vu7bhb24gl000,1,1
1d7v9gp660mtn000,0,1
1df67r7bmh3hs800,-1,2
1d7v9fuuk5j58800,1,1
1d7v7e0uj0mtn000,1,2
1d7uqm0b024g5000,1,3
1d7ukhdmd24g5000,1,1
1d7u79b5n1bgc000,0,1
1d7u6p3o71ba9000,1,1
1d7tqio8b1bgc000,-1,1
1d7tqio8b1bgc000,1,26
1d7tkkiat1aho000,1,5
1d7tjs2n70mti000,1,1
1d7tjs2n70mti000,-1,3
1d7sltt2o1agp000,-1,1
1d7sltt2o1agp000,0,1
1d7sabk255j55800,0,1
1d7qncs780mt2000,-1,2
1d7pus1mb1ba6000,0,1
1d7ppmmi75j55800,-1,3
1d7oaks331ba6000,1,1
1d7oaks331ba6000,0,1
1d7o6elku1d0v000,-1,1
1d7o06v0d1bg9000,1,3
1d7np195u0mti000,1,19
1d7nimucv52t6800,0,2
1d7ncboq61aho000,1,3
1d7n742m91aho000,1,1
1d7n6ji8v0mt2000,1,1
1d7n6ji8v0mt2000,0,1
1d7n4gb8852t6800,1,4
1d7n09bbr24gi000,1,2
1d7mpn03n0mt2000,-1,1
1d7mlf7em1fdv000,1,3
1d7mlcm241d1c000,1,11
1d7m38s0p5j55800,-1,5
1d7lr80bs52t6800,1,1
1d7lp82vj0mti000,-1,1
1d7lp82vj0mti000,1,1
1d7l5kbfv1d1c000,1,4
1d7l3ps6l24e2000,1,1
1d7l1mf7i0mti000,-1,1
1d7l1mf7i0mti000,0,1
1d7kstosa0mt2000,0,1
1d7kn9c5p1ba6000,-1,1
1d7khgnm724ei001,-1,1
1d7kgp09e5j55800,1,1
1d7k6ccus24ei000,1,2
1d7k695er24e2000,0,1
1d7k6769f24ei000,0,1
1d7k5nb7a52t6800,1,1
1d7k5nb7a52t6800,0,1
1d7jbpf7g52t2800,1,1
1d7jaint51ah3000,1,2
